Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3248;Aviador Kingsley 1614;Santibañez y Bradley;62 Reg - 65 Reg -;-31,423225;-64,247006
C3250;Aviador Kingsley 1500;Zuloaga y Chavez;62 Reg - 65 Reg -;-31,424026;-64,24699
C3252;Aviador Kingsley 1350;Kingsley esquina con Williams;62 Reg - 65 Reg -;-31,425935;-64,247076
C3254;Aviador Kingsley 1745;Zuñiga y Albarracin;65 Reg -;-31,429313;-64,246899
C3256;Aviador Kingsley 1798;Albarracin y Camilo Isleño;65 Reg -;-31,430284;-64,246835
C3258;Julio Roca 1260;La Pampa y Luis Agote;65 Reg -;-31,428352;-64,209219
C3260;Julio Roca 961;Achaval y Paso de los Andes;65 Reg -;-31,428196;-64,205947
C3262;Julio Roca 745;Canalejas y Elpidio Gonzalez;65 Reg -;-31,4288;-64,202235
C3264;Julio Roca 557;Corro y Arturo Bas;61 Reg - 65 Reg -;-31,428756;-64,199279
C3266;Julio Roca 445;Rodolfo Reyna y Simon Bolivar;61 Reg - 65 Reg -;-31,427868;-64,196726
C3268;Esquiu 247;24 de Setiembre y Lima;65 Reg -;-31,414646;-64,170896
C3270;Catamarca 985;Esquiu y Felix Frias;65 Reg -;-31,412723;-64,170681
C3272;Catamarca 1250;Pringles y Jacinto Rios;65 Reg -;-31,411844;-64,167506
C3274;Jacinto Rios 554;Sarmiento y Oncativo;65 Reg -;-31,410315;-64,167173
C3276;Oncativo 1551;Roma y Gral. Deheza;65 Reg -;-31,408845;-64,164839
C3278;Oncativo 1840;Lamadrid y Mexico;65 Reg -;-31,408026;-64,161658
C3282;Patria 683;Oncativo y Libertad;65 Reg - 66 Ida -;-31,406405;-64,15888
C3286;Rincon 2150;Eufrasio Loza y Garibaldi;65 Reg -;-31,40451;-64,15704
C3290;Garibaldi 962;Armenia y Garay;65 Reg -;-31,402834;-64,157345
C3292;Padre Luis Monti 2292;Garibaldi y Polonia;62 Reg - 65 Reg -;-31,397596;-64,157871
C3294;Padre Luis Monti 2386;Polonia y Maximo Virgolini;62 Reg - 65 Reg -;-31,396964;-64,155457
C3296;Padre Luis Monti 2496;Juan Jose Casal y Ciriaco Ortiz;62 Reg - 65 Reg -;-31,396314;-64,15374
C3298;Garibaldi 1336;Cochabamba y Padre Luis Monti;65 Reg -;-31,39874;-64,158901
C3300;Padre Luis Monti 2692;Anibal Troilo y Homero Manzi;62 Reg - 65 Reg -;-31,395581;-64,151638
C3302;Padre Luis Monti 2892;Santos Discepolo y Pascual Contursi;62 Reg - 65 Reg -;-31,39499;-64,149594
C3304;Padre Luis Monti 3068;Angel Villoldo y Celedonio Flores;62 Reg - 65 Reg -;-31,394619;-64,148376
C3306;Padre Luis Monti 3294;Juan Cavero y Jose Cervini;62 Reg - 65 Reg -;-31,394198;-64,146826
C3308;Padre Luis Monti 3492;Tomas Dombidas y Tula Cervin;62 Reg - 65 Reg -;-31,393658;-64,144717
C3310;Padre Luis Monti 3687;Jose de Quevedo y Clemente Villada;62 Reg - 65 Reg -;-31,393145;-64,142845
C3312;Padre Luis Monti 3792;Duran y Rawson;62 Reg - 65 Reg -;-31,393081;-64,140984
C3314;Padre Luis Monti 3944;Cabo de Hornos y Orgaz;62 Reg - 65 Reg -;-31,393044;-64,139455
C3316;Padre Luis Monti 4040;Zavalia y San Martin;62 Reg - 65 Reg -;-31,393044;-64,138119
C3318;Padre Luis Monti 4200;Severo Vaccaro y Franklin;62 Reg - 65 Reg -;-31,39303;-64,136794
C3320;Padre Luis Monti 4392;Wilson y Edison;62 Reg - 65 Reg -;-31,393026;-64,135222
C3324;Montemayor 2194;Villacorta y Ocaña y Tomas de Archondo;65 Reg -;-31,383876;-64,131747
C3326;Montemayor 2382;Medeiros y Tadeo Davila;65 Reg -;-31,38215;-64,131741
C3328;Montemayor 2556;Leon y Pizarro y Vilchez y Montoya;65 Reg -;-31,379599;-64,131708
C3330;Montemayor 2758;Fuensalida Meneses y  Rafael de Palencia;65 Reg -;-31,377831;-64,131692
C3336;Arriola 2968;Capdevila y Rauch;65 Reg -;-31,376283;-64,131312
C3340;Rauch 2717;Jose Arriola y Chachapoyas ;65 Reg -;-31,375614;-64,132985
C3342;Chachapoyas 3082;Vicente Balbestro y Mellian;65 Reg -;-31,37533;-64,133152
C3344;Chachapoyas 3256;3 de Junio y Julian Laguna;65 Reg -;-31,3725;-64,133071
C3346;Chachapoyas 3442;Fernando Abramo y 27 de Febrero;65 Reg -;-31,370833;-64,133039
